,startTimeInSeconds,elevationInMeters,airTemperatureCelcius,heartRate,speedMetersPerSecond,stepsPerMinute,totalDistanceInMeters,timerDurationInSeconds,clockDurationInSeconds,movingDurationInSeconds,latitudeInDegree,longitudeInDegree,swimCadenceInStrokesPerMinute,powerInWatts,bikeCadenceInRPM,summaryId,activityId,summary.activityName,summary.activityType,summary.startTimeInSeconds,summary.startTimeOffsetInSeconds,summary.durationInSeconds,summary.distanceInMeters,summary.averageHeartRateInBeatsPerMinute,summary.averageSpeedInMetersPerSecond,summary.averagePaceInMinutesPerKilometer,summary.averageRunCadenceInStepsPerMinute,summary.maxHeartRateInBeatsPerMinute,summary.maxSpeedInMetersPerSecond,summary.maxPaceInMinutesPerKilometer,summary.maxRunCadenceInStepsPerMinute,summary.averageSwimCadenceInStrokesPerMinute,summary.averageBikeCadenceInRoundsPerMinute,summary.maxBikeCadenceInRoundsPerMinute,summary.steps,summary.activeKilocalories,summary.startingLatitudeInDegree,summary.startingLongitudeInDegree,summary.totalElevationGainInMeters,summary.totalElevationLossInMeters
0,1659997752,52.400001525878906,24,106,1.819000005722046,87,2.140000104904175,0,0,0,-37.88882662542164,145.09205206297338,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
1,1659997753,52.400001525878906,24,108,2.677999973297119,92,5.269999980926514,1,1,1,-37.88884053938091,145.0920196250081,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
2,1659997756,52.400001525878906,24,109,2.882999897003174,96,16.399999618530273,4,4,4,-37.88886073976755,145.09190294891596,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
3,1659997761,52.400001525878906,24,111,3.0320000648498535,92,33.349998474121094,9,9,9,-37.88882025517523,145.0917188823223,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
4,1659997762,52.400001525878906,24,112,3.0880000591278076,91,34.56999969482422,10,10,10,-37.888824278488755,145.0917042978108,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
5,1659997764,52.79999923706055,24,116,3.1440000534057617,92,39.369998931884766,12,12,12,-37.8888666909188,145.09169432334602,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
6,1659997766,53.0,24,117,3.0510001182556152,92,44.27000045776367,14,14,14,-37.888911198824644,145.09171552956104,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
7,1659997771,52.79999923706055,23,120,2.994999885559082,91,58.349998474121094,19,19,19,-37.88903810083866,145.09174779988825,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
8,1659997775,53.0,23,121,2.9579999446868896,92,69.69000244140625,23,23,23,-37.889139857143164,145.09175869636238,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
9,1659997777,53.0,23,122,2.947999954223633,91,76.63999938964844,25,25,25,-37.88920230232179,145.0917640607804,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
10,1659997780,53.400001525878906,23,123,2.9670000076293945,92,84.80000305175781,28,28,28,-37.88927556015551,145.09176489897072,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
11,1659997783,53.400001525878906,23,126,2.9670000076293945,91,95.33999633789062,31,31,31,-37.88937035948038,145.09175090119243,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
12,1659997784,53.599998474121094,23,129,2.9760000705718994,91,98.55000305175781,32,32,32,-37.889399444684386,145.0917516555637,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
13,1659997785,53.599998474121094,23,128,2.9579999446868896,92,101.13999938964844,33,33,33,-37.88942308165133,145.09175551123917,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
14,1659997789,53.79999923706055,22,128,2.8459999561309814,92,112.94999694824219,37,37,37,-37.889529783278704,145.0917492248118,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
15,1659997792,53.79999923706055,22,131,2.818000078201294,92,122.05999755859375,40,40,40,-37.88961159065366,145.0917407590896,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
16,1659997795,54.20000076293945,22,130,2.7809998989105225,92,129.22999572753906,43,43,43,-37.88967554457486,145.09172684513032,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
17,1659997796,54.400001525878906,22,131,2.7709999084472656,92,131.5800018310547,44,44,44,-37.88969624787569,145.09172055870295,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
18,1659997797,54.599998474121094,22,131,2.7709999084472656,93,134.0500030517578,45,45,45,-37.889717957004905,145.09171376936138,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
19,1659997802,54.79999923706055,22,132,2.7060000896453857,92,146.89999389648438,50,50,50,-37.88983262144029,145.09168493561447,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
20,1659997805,55.20000076293945,22,134,2.6589999198913574,92,156.8699951171875,53,53,53,-37.88992146961391,145.09166817180812,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
21,1659997810,55.599998474121094,21,136,2.63100004196167,91,174.4600067138672,58,58,58,-37.89007653482258,145.09162508882582,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
22,1659997816,56.20000076293945,21,138,2.6689999103546143,91,190.86000061035156,64,64,64,-37.890222296118736,145.09159449487925,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
23,1659997817,56.400001525878906,21,137,2.6689999103546143,91,194.11000061035156,65,65,65,-37.89025138132274,145.0915903877467,0.0,0.0,0.0,9365328704-detail,9365328704,Melbourne - 10k Time Trial,RUNNING,1659997752,36000,3560,13009.14,171,3.654,4.561211,177.48438,190,4.227,3.9429064,196,0.0,0.0,0.0,10442,998,-37.88882662542164,145.09205206297338,43.37,41.55
