,startTimeInSeconds,elevationInMeters,airTemperatureCelcius,heartRate,speedMetersPerSecond,stepsPerMinute,totalDistanceInMeters,timerDurationInSeconds,clockDurationInSeconds,movingDurationInSeconds,latitudeInDegree,longitudeInDegree,swimCadenceInStrokesPerMinute,powerInWatts,bikeCadenceInRPM,summaryId,activityId,summary.activityName,summary.activityType,summary.startTimeInSeconds,summary.startTimeOffsetInSeconds,summary.durationInSeconds,summary.distanceInMeters,summary.averageHeartRateInBeatsPerMinute,summary.averageSpeedInMetersPerSecond,summary.averagePaceInMinutesPerKilometer,summary.averageRunCadenceInStepsPerMinute,summary.maxHeartRateInBeatsPerMinute,summary.maxSpeedInMetersPerSecond,summary.maxPaceInMinutesPerKilometer,summary.maxRunCadenceInStepsPerMinute,summary.averageSwimCadenceInStrokesPerMinute,summary.averageBikeCadenceInRoundsPerMinute,summary.maxBikeCadenceInRoundsPerMinute,summary.steps,summary.activeKilocalories,summary.startingLatitudeInDegree,summary.startingLongitudeInDegree,summary.totalElevationGainInMeters,summary.totalElevationLossInMeters
0,1660592810,-2.200000047683716,22,122,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,9411278144-detail,9411278144,Melbourne Running,RUNNING,1660592810,36000,3659,12062.3,164,3.297,5.055101,177.15625,188,5.617,2.9671829,255,0.0,0.0,0.0,10450,899,-37.85210072994232,144.9780725967139,48.93,46.53
1,1660592811,-2.200000047683716,22,122,0.0,0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,9411278144-detail,9411278144,Melbourne Running,RUNNING,1660592810,36000,3659,12062.3,164,3.297,5.055101,177.15625,188,5.617,2.9671829,255,0.0,0.0,0.0,10450,899,-37.85210072994232,144.9780725967139,48.93,46.53
2,1660592814,-2.0,22,125,0.0,98,0.0,4,4,0,0.0,0.0,0.0,0.0,0.0,9411278144-detail,9411278144,Melbourne Running,RUNNING,1660592810,36000,3659,12062.3,164,3.297,5.055101,177.15625,188,5.617,2.9671829,255,0.0,0.0,0.0,10450,899,-37.85210072994232,144.9780725967139,48.93,46.53
3,1660592820,-1.600000023841858,22,127,2.994999885559082,94,15.119999885559082,10,10,6,0.0,0.0,0.0,0.0,0.0,9411278144-detail,9411278144,Melbourne Running,RUNNING,1660592810,36000,3659,12062.3,164,3.297,5.055101,177.15625,188,5.617,2.9671829,255,0.0,0.0,0.0,10450,899,-37.85210072994232,144.9780725967139,48.93,46.53
4,1660592826,-1.600000023841858,22,129,2.9110000133514404,92,32.779998779296875,16,16,12,0.0,0.0,0.0,0.0,0.0,9411278144-detail,9411278144,Melbourne Running,RUNNING,1660592810,36000,3659,12062.3,164,3.297,5.055101,177.15625,188,5.617,2.9671829,255,0.0,0.0,0.0,10450,899,-37.85210072994232,144.9780725967139,48.93,46.53
5,1660592832,-1.7999999523162842,22,131,2.9110000133514404,91,50.2400016784668,22,22,18,0.0,0.0,0.0,0.0,0.0,9411278144-detail,9411278144,Melbourne Running,RUNNING,1660592810,36000,3659,12062.3,164,3.297,5.055101,177.15625,188,5.617,2.9671829,255,0.0,0.0,0.0,10450,899,-37.85210072994232,144.9780725967139,48.93,46.53
6,1660592838,-2.0,22,133,3.003999948501587,92,67.80000305175781,28,28,24,0.0,0.0,0.0,0.0,0.0,9411278144-detail,9411278144,Melbourne Running,RUNNING,1660592810,36000,3659,12062.3,164,3.297,5.055101,177.15625,188,5.617,2.9671829,255,0.0,0.0,0.0,10450,899,-37.85210072994232,144.9780725967139,48.93,46.53
7,1660592844,-1.7999999523162842,22,131,3.815999984741211,90,86.91999816894531,34,34,30,0.0,0.0,0.0,0.0,0.0,9411278144-detail,9411278144,Melbourne Running,RUNNING,1660592810,36000,3659,12062.3,164,3.297,5.055101,177.15625,188,5.617,2.9671829,255,0.0,0.0,0.0,10450,899,-37.85210072994232,144.9780725967139,48.93,46.53
8,1660592850,-1.600000023841858,22,134,2.994999885559082,91,107.41000366210938,40,40,36,0.0,0.0,0.0,0.0,0.0,9411278144-detail,9411278144,Melbourne Running,RUNNING,1660592810,36000,3659,12062.3,164,3.297,5.055101,177.15625,188,5.617,2.9671829,255,0.0,0.0,0.0,10450,899,-37.85210072994232,144.9780725967139,48.93,46.53
9,1660592856,-1.600000023841858,22,132,2.9860000610351562,90,125.31999969482422,46,46,42,0.0,0.0,0.0,0.0,0.0,9411278144-detail,9411278144,Melbourne Running,RUNNING,1660592810,36000,3659,12062.3,164,3.297,5.055101,177.15625,188,5.617,2.9671829,255,0.0,0.0,0.0,10450,899,-37.85210072994232,144.9780725967139,48.93,46.53
