,startTimeInSeconds,elevationInMeters,airTemperatureCelcius,heartRate,speedMetersPerSecond,stepsPerMinute,totalDistanceInMeters,timerDurationInSeconds,clockDurationInSeconds,movingDurationInSeconds,latitudeInDegree,longitudeInDegree,swimCadenceInStrokesPerMinute,powerInWatts,bikeCadenceInRPM,summaryId,activityId,summary.activityName,summary.activityType,summary.startTimeInSeconds,summary.startTimeOffsetInSeconds,summary.durationInSeconds,summary.distanceInMeters,summary.averageHeartRateInBeatsPerMinute,summary.averageSpeedInMetersPerSecond,summary.averagePaceInMinutesPerKilometer,summary.averageRunCadenceInStepsPerMinute,summary.maxHeartRateInBeatsPerMinute,summary.maxSpeedInMetersPerSecond,summary.maxPaceInMinutesPerKilometer,summary.maxRunCadenceInStepsPerMinute,summary.averageSwimCadenceInStrokesPerMinute,summary.averageBikeCadenceInRoundsPerMinute,summary.maxBikeCadenceInRoundsPerMinute,summary.steps,summary.activeKilocalories,summary.startingLatitudeInDegree,summary.startingLongitudeInDegree,summary.totalElevationGainInMeters,summary.totalElevationLossInMeters
0,1661414971,52.40000153,27,91,3.115999937,89,1.179999948,0,0,0,-37.88886133,145.0918201,0,0,0,9473474153-detail,9473474153,Melbourne - 15min Solid + Hills 14k TA,RUNNING,1661414971,36000,4302,14005.47,148,3.256,5.118755,170.23438,180,4.6,3.6231883,201,0,0,0,11890,993,-37.88886133,145.0918201,132.76,128.52
1,1661414973,52.40000153,27,95,3.266000032,89,6.349999905,2,2,2,-37.8888848,145.091745,0,0,0,9473474153-detail,9473474153,Melbourne - 15min Solid + Hills 14k TA,RUNNING,1661414971,36000,4302,14005.47,148,3.256,5.118755,170.23438,180,4.6,3.6231883,201,0,0,0,11890,993,-37.88886133,145.0918201,132.76,128.52
2,1661414974,52.40000153,27,96,3.219000101,90,14.60999966,3,3,3,-37.88878815,145.09169,0,0,0,9473474153-detail,9473474153,Melbourne - 15min Solid + Hills 14k TA,RUNNING,1661414971,36000,4302,14005.47,148,3.256,5.118755,170.23438,180,4.6,3.6231883,201,0,0,0,11890,993,-37.88886133,145.0918201,132.76,128.52
3,1661414975,52.40000153,27,97,3.266000032,90,19.31999969,4,4,4,-37.88875303,145.091659,0,0,0,9473474153-detail,9473474153,Melbourne - 15min Solid + Hills 14k TA,RUNNING,1661414971,36000,4302,14005.47,148,3.256,5.118755,170.23438,180,4.6,3.6231883,201,0,0,0,11890,993,-37.88886133,145.0918201,132.76,128.52
4,1661414978,52.59999847,27,100,3.322000027,90,27.37000084,7,7,7,-37.88873342,145.0915593,0,0,0,9473474153-detail,9473474153,Melbourne - 15min Solid + Hills 14k TA,RUNNING,1661414971,36000,4302,14005.47,148,3.256,5.118755,170.23438,180,4.6,3.6231883,201,0,0,0,11890,993,-37.88886133,145.0918201,132.76,128.52
5,1661414982,52.59999847,27,104,3.927999973,89,37.11000061,11,11,11,-37.88873493,145.0914316,0,0,0,9473474153-detail,9473474153,Melbourne - 15min Solid + Hills 14k TA,RUNNING,1661414971,36000,4302,14005.47,148,3.256,5.118755,170.23438,180,4.6,3.6231883,201,0,0,0,11890,993,-37.88886133,145.0918201,132.76,128.52
6,1661414986,52.59999847,27,107,3.227999926,89,48.40999985,15,15,15,-37.88867734,145.0913245,0,0,0,9473474153-detail,9473474153,Melbourne - 15min Solid + Hills 14k TA,RUNNING,1661414971,36000,4302,14005.47,148,3.256,5.118755,170.23438,180,4.6,3.6231883,201,0,0,0,11890,993,-37.88886133,145.0918201,132.76,128.52
7,1661414987,52.59999847,27,110,3.154000044,89,52.13000107,16,16,16,-37.88865061,145.0912984,0,0,0,9473474153-detail,9473474153,Melbourne - 15min Solid + Hills 14k TA,RUNNING,1661414971,36000,4302,14005.47,148,3.256,5.118755,170.23438,180,4.6,3.6231883,201,0,0,0,11890,993,-37.88886133,145.0918201,132.76,128.52
8,1661414988,52.79999924,27,111,3.154000044,89,55.63000107,17,17,17,-37.88862538,145.0912741,0,0,0,9473474153-detail,9473474153,Melbourne - 15min Solid + Hills 14k TA,RUNNING,1661414971,36000,4302,14005.47,148,3.256,5.118755,170.23438,180,4.6,3.6231883,201,0,0,0,11890,993,-37.88886133,145.0918201,132.76,128.52
9,1661414992,52.40000153,27,111,3.088000059,89,69.56999969,21,21,21,-37.88850778,145.0912029,0,0,0,9473474153-detail,9473474153,Melbourne - 15min Solid + Hills 14k TA,RUNNING,1661414971,36000,4302,14005.47,148,3.256,5.118755,170.23438,180,4.6,3.6231883,201,0,0,0,11890,993,-37.88886133,145.0918201,132.76,128.52
